onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0.0
32	8	1	2766534.0159759996	0.0
40	8	1	3623556.0065769996	0.0
48	8	1	1855672.0117849999	0.0
56	8	1	2233338.017552	0.0
64	8	1	1518878.014075	0.0
72	8	2	1518878.014075	73.03918730000001
80	8	1	4442312.010246	0.0
88	8	1	3496296.0090050003	0.0
96	8	1	3642806.02132	0.0
104	8	1	4009552.0103300004	0.0
112	8	1	13111881.007817	0.0
120	8	1	4168199.01062	0.0
128	8	1	1970164.028566	0.0
136	8	1	2439033.011666	0.0
144	8	1	1877134.011991	0.0
152	8	1	3924679.011429	0.0
160	8	1	2090827.010084	0.0
168	8	1	4090263.0104410006	0.0
176	8	1	3815615.01745	0.0
184	8	2	3815615.01745	185.04616586
192	8	1	2882647.0001689997	0.0
200	8	1	3063599.002682	0.0
208	8	1	4225987.006665	0.0
216	8	1	3602883.0143150003	0.0
224	8	2	3602883.0143150003	225.037719706
232	8	1	7734744.008048	0.0
240	8	1	3255030.0014130003	0.0
248	8	2	3255030.0014130003	249.04323364599998
256	8	1	3079230.00827	0.0
264	8	1	3790512.0239660004	0.0
272	8	2	3790512.0239660004	273.036074014
280	8	1	3607659.006257	0.0
288	8	1	4482393.006359	0.0
296	8	1	4587559.0104	0.0
304	8	1	2503517.003324	0.0
312	8	1	3646296.010069	0.0
320	8	1	2005790.003943	0.0
328	8	1	2800213.0047029997	0.0
336	8	1	4255586.001521	0.0
344	8	1	2055803.004843	0.0
352	8	1	3187595.00726	0.0
360	8	1	4376876.011868	0.0
368	8	1	3425413.021315	0.0
376	8	1	4497801.014007	0.0
384	8	1	2808440.048297	0.0
392	8	1	3394916.023304	0.0
400	8	1	4123740.0124629997	0.0
408	8	1	2317335.021319	0.0
416	8	1	3950228.035453	0.0
424	8	1	3612010.012996	0.0
432	8	1	3085013.0213	0.0
440	8	1	2998003.003934	0.0
448	8	1	11978233.016933	0.0
456	8	1	1645776.0101299998	0.0
464	8	1	4254680.00119	0.0
472	6	-2	n/a	0.0
